Sentence|Translation
T'as rien d'autre à dire, t'es là, tu me regardes.|You have nothing else to say, you're here, you're looking at me.
Ça fait quoi ?|How's it feel?
Ça fait quoi ?|How's it feel?
Je m'emballe.|I'm getting excited.
Ça fait quoi que je suis là ?|How do I feel here?
Tu vas avoir des prétendants, t'inquiète, tu vas vivre aussi.|You're gonna have suitors, don't worry, you're gonna live too.
Mais t'inquiète, j'ai pas besoin des mecs pour qu'on se pose.|But don't worry, I don't need the guys to sit down.
Je vis sans ça, je vis sans ça.|I live without it, I live without it.
C'est sûr et certain, on sera jamais copines.|I'm sure we'll never be friends.
Vraiment.|Really.
Je repars avec Lalou et cette meuf, je vais faire comme si elle n'était pas là.|I'm going back with Lalou and this girl, I'm going to pretend she's not here.
Pour moi, cette fille, elle n'existe plus dans la vie.|For me, this girl, she doesn't exist in life anymore.
On s'est embrassés parce qu'on en a envie en vrai, je pense que t'en avais envie aussi.|We kissed because we really want to, I think you wanted to, too.
J'ai l'impression que c'est un truc de fou, je te le dis, c'est la cour de création.|I feel like it's a crazy thing, I'm telling you, it's the creative court.
Ils se sont fait un bisou !|They kissed each other!
Waouh !|Wow!
On est où, là ?|Where are we?
Allô ?|Hello?
Quand c'est pour parler d'eux, ils évitent le sujet.|When it's to talk about them, they avoid the subject.
Mais quand c'est nous, ça les arrange, ça les fait rire.|But when it's us, it helps them, it makes them laugh.
En fait, c'est que dans un sens, en fait.|Actually, it's only in a way, actually.
J'aime pas ça, ça m'énerve.|I don't like it. I'm upset.
Ça m'énerve, ça m'énerve.|It pisses me off, it pisses me off.
Ça m'énerve.|It pisses me off.
Ils sont jaloux, qu'est-ce que tu veux ?|They're jealous, what do you want?
Manon, ce matin, elle a fait la meuf.|Manon, this morning, she made the girl.
Ouais, je m'en fous, là.|Yeah, I don't care about that.
Elle a fait David.|She did David.
C'est ça, je comprends pas.|That's right, I don't understand.
Pourquoi mes trucs qu'on fait, on va sur la plage ?|Why my stuff we do, we go to the beach?
La meuf, elle sort ses grosses gemelles.|The girl, she pulls out her big gems.
On dirait une pirate.|It's like a pirate.
Elle a envie de nous jeter.|She wants to throw us away.
Ça lui fait mal.|It hurts her.
Eh ouais, exactement.|Yeah, exactly.
Quand je vois la réaction démesurée de Manon, je me pose des questions.|When I see Manon's disproportionate reaction, I wonder.
C'est compliqué, mais moi, je me focalise surtout sur ma relation avec Larisse et on passe un bon petit moment sur le rooftop.|It's complicated, but I'm focusing on my relationship with Larisse and we're having a good time on the rooftop.
C'est pas bien, là.|That's not good.
Ah !|Ah!
Le coaching est arrivé.|Coaching's here.
J'ai une prétendante.|I have a suitor.
Julie, Antoine, l'heure de votre coaching est arrivée.|Julie, Antoine, it's time for your coaching.
Venez me rejoindre.|Come join me.
Coup de pression.|Pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure on, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure on, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure, pressure on on on on...........................................................................................................................................................................................................................................................................................
J'ai la gorge qui se noue, j'ai les mains moites, je commence à avoir chaud.|I've got my throat tied, my hands wet, I'm starting to get hot.
Je suis pas bien parce que je sais pas ce qu'elles nous réservent et j'ai peur de vivre une expérience qui va pas me plaire.|I'm not good because I don't know what they're up to, and I'm afraid I'm going to have an experience that I'm not going to like.
C'est soit on revient en couple, soit on revient séparés.|It's either we're back together or we're back together.
Tu restes attaché, tu veux pas te marcher.|You stay attached, you don't want to walk.
Apparemment, j'ai pas envie d'y aller.|Apparently, I don't want to go.
Ca me stresse trop.|It's too stressful for me.
On est stressés parce qu'on sait pas ce qui nous attend, mais sinon, sur notre couple, on est pas stressés parce qu'on sait, lui comme moi, ce qu'on veut, que ça soit ici, dans la villa ou même à l'extérieur.|We're stressed out because we don't know what's waiting for us, but otherwise, about our couple, we're not stressed out because we know, like me, what we want, whether it's here, in the villa or even outside.
Donc, je pense que le coaching de Lucie peut que nous souder, en fait.|So, I think Lucie's coaching can actually solder us.
Bon, je vous avais dit que ce sera un exercice de couple, aujourd'hui, mais ça concerne particulièrement l'un de vous deux.|Well, I told you it's gonna be a couple exercise today, but it's especially about one of you.
Antoine ?|Antoine?
Antoine.|Antoine.
Je suis trop contente.|I'm so happy.
Mais t'as un énorme rôle à jouer et qui sera pas forcément simple.|But you've got a huge role to play and it won't necessarily be easy.
D'abord, vous allez être séparées.|First, you're going to be separated.
D'accord.|All right.
Ouais.|Yeah.
Toi, tu vas aller là-bas.|You're gonna go there.
Tu vois, il y a un jeune homme là-bas.|See, there's a young man over there.
Il s'appelle Adrien.|His name is Adrien.
Tu as rendez-vous avec lui.|You have an appointment with him.
Je t'en prie, va t'asseoir.|Please, go sit down.
Tu la laisses partir.|You let her go.
Je comprends pas trop.|I don't understand.
Je vois un blond peroxydé au loin.|I see a blond peroxidized in the distance.
Je me dis, c'est quoi ce bordel ?|I'm thinking, what the hell?
Qu'est-ce qu'elle me réserve ?|What's she got for me?
Et en fait, je commence à être tendu parce que...|And actually, I'm starting to get tense because...
Je me dis qu'elle va avoir un date devant mes yeux.|I'm thinking she's gonna have a date in front of me.
Et ça, c'est hors de question.|And that's out of the question.
Julie, je te présente Adrien.|Julie, this is Adrien.
Adrien, je te présente Julie.|Adrien, this is Julie.
Adrien est là pour cet exercice.|Adrien is here for this exercise.
Tu as bien compris que c'était un date, mais que c'était un date.|You understood it was a date, but it was a date.
Vous êtes rencontrés sur une application de rencontre, tous les deux, d'accord ?|You're meeting on a dating app, both of you, okay?
Tu vas me le faire péter un plomb.|You're gonna blow my ass off.
Oui.|Yes.
D'accord.|All right.
Et c'est votre premier rendez-vous.|And this is your first date.
C'est la première fois que vous vous voyez.|This is the first time you've seen each other.
Et vous vous kiffez.|And you're kiffing.
Donc évidemment, il faut faire monter la pression.|So obviously, we have to raise the pressure.
Je rentre dans la séduction.|I'm getting into seduction.
Tu rentres dans la séduction.|You're getting into seduction.
On va pas se mentir, cet exercice, pour moi, va être très compliqué parce qu'il y a Antoine qui va regarder.|We're not gonna lie to each other, this exercise, for me, is going to be very complicated because Antoine is going to watch.
Ca me prend au trip.|It takes me at the trip.
J'ai pas envie de lui faire du mal.|I don't want to hurt him.
J'ai juste envie de repartir.|I just want to go back.
Bon rendez-vous.|Good date.
Merci.|Thank you.
Je t'appelle Adrien.|I'm calling you Adrien.
OK, d'accord.|Okay, okay.
T'as quel âge ?|How old are you?
28 bientôt.|28 soon.
J'ai 27 ans.|I'm 27.
Qu'est-ce que tu vois ?|What do you see?
J'ai envie de me rencontrer.|I want to meet.
J'ai envie d'être avec un garçon.|I want to be with a boy.
D'accord.|All right.
Ce que je vais te demander.|What I'm gonna ask you.
C'est qu'à chaque fois que ça te choque, à chaque fois que ça te dérange, à chaque fois que dans la réalité, c'est quelque chose que tu ne laisserais pas passer, tu écrives sur la feuille pourquoi.|It's that every time it shockes you, every time it bothers you, every time in reality, it's something you wouldn't let go, you write on the sheet why.
Le coaching de Lucie, pour moi, c'est pas du tout un coaching, c'est juste une torture.|Lucie's coaching, for me, it's not coaching at all, it's just torture.
Pourquoi elle me fait ça ?|Why is she doing this to me?
Elle est censée arranger les choses entre Julie et moi, et là, j'ai juste l'impression qu'elle a envie qu'on se sépare, à la limite.|She's supposed to make things right between me and Julie, and now I just feel like she wants us to split up, at the limit.
Donc, je comprends pas trop.|So, I don't get it.
J'ai besoin d'un mec qui m'élève.|I need a guy to raise me.
Tu vois, j'ai besoin d'apprendre de lui.|See, I need to learn from him.
Qui t'élève ?|Who's raising you?
Qui m'élève, tu vois.|Who's raising me, you know.
Ah, d'accord, d'accord.|Ah, all right, all right.
C'est bon.|It's okay.
Pourquoi, là ?|Why?
La main, le regard...|The hand, the look...
Une position séductrice, tu vois.|A seductive position, you know.
Ouais, exactement.|Yeah, exactly.
Et c'est vrai que là, je suis déstabilisée.|And it's true that now I'm destabilized.
C'est compliqué.|It's complicated.
Donc si je m'assois ici, juste à côté de toi.|So if I sit here, right next to you.
Et assis-toi ici, juste à côté de moi.|And sit here, right next to me.
Magnifique.|Beautiful.
Toi, voilà.|There you are.
Déstabilisant ?|Destabilizing?
Ouais, c'est déstabilisant.|Yeah, it's destabilizing.
Non.|No.
Un petit peu.|A little bit.
Le mec, il en fait beaucoup.|The guy, he's making a lot of it.
Avec Julie, là, il est là, il se rapproche, il commence à lui faire des compliments, il touche la main.|With Julie, he's here, he's getting closer, he's starting to compliment him, he's touching his hand.
Il se prend pour qui, lui, en fait ?|Who does he think he is?
Déjà, tu touches pas, tu restes à une distance de sécurité, parce que la vérité, si tu veux pas te manger le fond de la piscine, tu vas prendre tes distances.|Already, you don't touch, you stay at a safe distance, because the truth, if you don't want to eat the bottom of the pool, you're gonna take your distance.
Fiancée ?|Bride?
Non, je suis pas fiancée.|No, I'm not engaged.
C'est une blague, quoi.|It's a joke.
Et si on l'enlève ?|What if we take it off?
Pourquoi tu veux l'enlever ?|Why do you want to take it off?
Non, parce que pour moi, regarde, je suis avec toi, là, et on est juste à poser, là.|No, because for me, look, I'm with you right now, and we're just sitting right there.
Le pire dans cette histoire, c'est que lui, il la touche et elle l'enlève pas sa main.|The worst part of this story is that he touches her and she doesn't take her hand off.
Si vraiment tu me respectes, franchement, tu jardes sa main d'une gifle.|If you really respect me, frankly, you're sniffing his hand with a slap.
Enfin...|I mean...
Au moins, tu l'envoies un peu...|At least you send him a little...
Tu l'éloignes.|You're taking her away.
OK, d'accord.|Okay, okay.
J'ai vu ce que j'avais à voir.|I saw what I had to see.
Franchement, c'est suffisant pour moi.|Frankly, that's enough for me.
Donc, c'est un cadeau de...|So, it's a gift from...
De moi-même.|From myself.
Maintenant, je peux te dire ce qui se passe.|Now I can tell you what's going on.
Ah, d'accord.|Ah, all right.
Tu veux savoir ?|You want to know?
C'est moi qui l'ai demandé, là, comme ça.|I'm the one who asked for it right now.
OK.|Okay.
Elle y voit un rôle.|She sees it as a role.
Mais je suis pas sûr.|But I'm not sure.
A toi de voir.|It's up to you.
Je t'explique ce qu'on va faire maintenant.|I'll explain what we're gonna do now.
On va aller là-bas et on va s'asseoir avec Julie.|We're gonna go over there and we're gonna sit down with Julie.
Et on va se parler un peu tous les trois, d'accord ?|And we're gonna talk a little bit, all right?
Allez.|Come on.
Ce coaching, moi, il m'a...|This coaching, I, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he...
Il m'a saoulé, clairement.|He got me drunk, clearly.
Il m'a énervé.|He pissed me off.
Pour la simple et bonne raison que je comprends pas.|For the simple reason I don't understand.
Je comprends pas ce qui se passe là, parce que...|I don't understand what's going on here, because...
En fait, je pensais qu'elle avait évolué.|Actually, I thought she had evolved.
Mais quand je vois ça, je me dis que pas du tout.|But when I see this, I think it's not at all.
Allez, à bientôt.|Come on, see you soon.
Antoine, assieds-toi.|Antoine, sit down.
Je t'aime pas bien, Lucie.|I don't like you, Lucie.
T'es pas cool.|You're not cool.
Je sais.|I know.
Ma vie...|My life...
Ma vie, qu'est-ce qu'il y a ?|My life, what is it?
Tu vois, pourtant, il sait que c'était faux.|You see, though, he knows it was wrong.
Mais tu vois la réaction, là.|But you see the reaction here.
Ouais, je sais, parce que je sais qu'il a énormément souffert, ma vie.|Yeah, I know, because I know he's suffered a lot, my life.
Mais t'es malade ou quoi ?|Are you sick or something?
Mon cur !|My heart!
Très bien.|All right.
Tu peux me mettre de côté.|You can put me away.
Ah oui, tu peux.|Oh, yes, you can.
Mon cur !|My heart!
Je te jure, j'avais absolument pas envie, je voulais juste que ça se finisse, j'étais pas bien, je voulais trop trouver.|I swear, I absolutely didn't want to, I just wanted it to end, I wasn't good, I wanted to find out too much.
Non.|No.
J'arrivais même pas, même si je devais faire semblant que ça soit un jeu, j'étais très mal à l'aise, en fait.|I couldn't even make it, even if I had to pretend it was a game, I was really uncomfortable, actually.
En fait, quand je vois ça, tu vois, je me dis que...|Actually, when I see that, you know, I think...
Déjà.|Already.
Mais j'arrive toujours pas à avoir confiance.|But I still can't trust you.
et qu'à n'importe quelle occasion, genre une soirée en boîte, une soirée, je sais pas, avec des amis ou il y a quelqu'un que tu connais pas qui arrive, qui pourrait te plaire minimum physiquement, à n'importe quel moment tu pourrais me trahir, tu vois.|And on any occasion, like a club party, a party, I don't know, with friends or there's someone you don't know who's coming, who might like you minimally physically, at any time you could betray me, you know.
Et même si je sais que c'est un exercice, j'ai l'impression que quand je te vois, quand je te vois avec lui, qu'il y a un fond de vérité, tu vois.|And even if I know it's an exercise, I feel like when I see you, when I see you with him, there's a background of truth, you know.
Moi, je sais que dans ma tête, c'était clair et net.|I know that in my head it was clear and clean.
Après, dans le sens où je suis honnête avec toi, comme je dis, si je n'étais pas avec toi, oui, c'est quelqu'un qui aurait pu me plaire.|Then, in the sense that I'm honest with you, as I say, if I wasn't with you, yes, it was someone I could have liked.
Mais je n'ai pas envie de ça, même si je rigolais énormément et tout, c'est parce que j'étais gênée et je n'avais pas...|But I don't want to do that, even if I laughed a lot and all, it's because I was embarrassed and I didn't...
C'était de la nervosité, ça.|That was nervousness.
Avec tout le mal que j'ai pu faire à Antoine, à ce moment-là, je pense que ça doit être énormément dur pour lui, mais c'est dur aussi pour moi parce que je me rends compte que je l'aime énormément et que je ne veux pas le blesser une deuxième fois, en fait.|With all the harm I could do to Antoine, at that time, I think it must be enormously hard for him, but it's also hard for me because I realize that I love him very much and I don't want to hurt him a second time, actually.
Moi, je vais te dire ce que j'ai vu.|I'll tell you what I saw.
J'ai vu une femme extrêmement mal à l'aise, qui riait nerveusement et qui se disait, quand est-ce que ça s'arrête ?|I saw a woman who was extremely uncomfortable, laughing nervously and thinking, when did it end?
Parce que c'est très dur, je suis en train de faire du mal à l'homme que j'aime.|Because it's very hard, I'm hurting the man I love.
C'est tout ce que j'ai vu.|That's all I saw.
Et ce que je viens de faire, là, c'est de vous offrir une occasion, justement, de vous mettre au clair tous les deux, pour savoir quelles sont vos limites.|And what I've just done here is to offer you an opportunity, precisely, to get both of you clear, to know what your limits are.
Parlez de vos peurs.|Talk about your fears.
Et avant de quitter cette aventure, de vous mettre au carré tous les deux pour vous dire, ça, je peux le supporter, ça, ça me fait du mal.|And before you leave this adventure, square you both to tell you, that, I can handle it, that hurts me.
Bah moi, écoute, j'ai envie de...|Well, look, I want to...
Qu'on ne se dise jamais...|Let's never say...
Une personne qui commence à complimenter et qu'on rentre dans son jeu, qui commence à sous-entendre, qu'on pourrait peut-être se voir.|A person who starts to compliment and gets into his game, who starts to imply, that maybe we could see each other.
Une ouverture.|An opening.
Comme Adrien l'a fait tout à l'heure.|Like Adrien did earlier.
Ça, c'est de la drague.|That's dredge.
Et ça, c'est non.|And that's no.
Ça me semble tout à fait logique.|That makes quite sense to me.
Donc, toi, ta limite, c'est si un homme est trop avenant ou te drague ou flirte, je veux que tu mettes un stop.|So, you, your limit, it's if a man is too good or flirting or flirting, I want you to stop.
Exactement.|Exactly.
Je le comprends.|I understand that.
Moi, je ne me permettrais pas de le faire, de moi-même.|I wouldn't allow myself to do it.
Il est pas bien.|He's not good.
Et là, je me rends compte que ça lui a encore fait du mal.|And then I realize it hurt her again.
Et c'est la seule chose que je voulais pas lui refaire, en fait.|And that's the only thing I didn't want to do to him, actually.
Et ce coaching me fait réaliser énormément de choses, d'où le fait que je sois...|And this coaching makes me realize a lot of things, so the fact that I'm...
Que je sois très amoureuse d'Antoine.|That I'm very in love with Antoine.
Et ça, c'est la plus belle des réussites.|And this is the greatest success.
Alors, attention.|So, be careful.
Les limites de l'un ne sont pas les limites de l'autre.|The limits of one are not the limits of the other.
C'est pas parce qu'elle va accepter un truc que tu dois accepter, c'est pas parce que tu vas accepter quelque chose qu'elle va l'accepter.|It's not because she's going to accept something you have to accept, it's not because you're going to accept something that she's going to accept.
Ça vous semble clair à tous les deux ?|Does that sound clear to both of you?
Totalement.|Totally.
C'est clair et c'est bon pour moi.|It's clear and it's good for me.
En fait, la conclusion de cet exercice, c'est que je me rends compte de beaucoup de choses, que j'ai peut-être pas réglées certains problèmes de confiance en moi, de confiance en elle.|In fact, the conclusion of this exercise is that I realize a lot of things, that I may not have solved some problems of confidence in myself, of trust in her.
Peut-être qu'il y a encore beaucoup de rancur aussi, et que pour que ça avance avec Julie, il va falloir qu'on fasse des concessions tous les deux et qu'on se parle.|Maybe there's still a lot of grudge, too, and if it's going to go ahead with Julie, we're gonna have to make some concessions together and talk to each other.
Parce qu'au fond, je l'aime comme un dingue, et si je l'aimais pas, je réagirais pas comme ça.|Because deep down, I love him like crazy, and if I didn't like him, I wouldn't react like that.
Et finish, tous les deux.|And finish, both of you.
Bon, je vais y aller.|All right, I'll go.
Merci.|Thank you.
Je t'aime mal.|I don't like you.
Je remarquais que je t'aimais vraiment.|I noticed I really loved you.
Allez rentrer, les amoureux.|Go home, lovers.
Oui ?|Yes?
T'es là ?|Are you there?
Oui.|Yes.
Tu te reposes ?|Are you resting?
Ouais, et toi ?|Yeah, what about you?
Tu sais, je t'avais parlé de mon coaching.|You know, I told you about my coaching.
Oui ?|Yes?
Avec Lucie.|With Lucie.
Il fallait que je lise soit devant tout le monde, soit à quelqu'un.|I had to read either in front of everyone or to someone.
Je pense que c'est mieux que je te lise à toi, pour que tu apprennes à me connaître et que parfois tu comprennes aussi mes réactions un peu virulentes, explosives.|I think it's better for me to read you, so that you get to know me and sometimes you also understand my reactions a little virulent, explosive.
Ça fait un petit moment que je dois lire mon livre que j'avais commencé à écrire suite à mon coaching avec Lucie.|It's been a while since I had to read my book that I started writing after my coaching with Lucie.
Je trouvais pas le bon moment parce que j'étais gênée de le lire à tous les curs brisés.|I couldn't find the right time because I was embarrassed to read it to every broken heart.
Du coup, je pense que la seule personne à qui j'ai envie de me confier vraiment dans cette vie-là, c'est Nicolo.|So I think the only person I really want to trust in this life is Nicolo.
C'est un beau geste, en fait.|It's a nice gesture, actually.
Je n'avais pas envie de le dire à personne.|I didn't want to tell anyone.
Je dois parler de moi, mais à la 3e personne.|I need to talk about myself, but to the third person.
En mode, il était une fois.|In fashion, once upon a time.
Virginie en vit vraiment de baisser les armes et de montrer son coeur.|Virginie really saw it coming down and showing her heart.
C'est quelque chose que j'apprécie beaucoup.|That's something I really appreciate.
Je montre souvent, quasiment tout le temps, mon coeur à elle.|I often show, almost all the time, my heart to her.
Cette fois-ci, c'est elle qui fait un geste très important pour moi.|This time, she's making a very important move for me.
Je ne m'y attendais pas.|I didn't expect it.
Il était une fois Virginie, une jeune fille de 18 ans, qui rencontre l'amour pour la première fois.|Once upon a time Virginia, an 18-year-old girl, met love for the first time.
C'est un amour passionnel qui vira peu à peu au cauchemar, puisqu'une forme de violence s'installe.|It is a passional love that gradually turned into a nightmare, since a form of violence is taking place.
Ça a été très difficile pour moi de sortir de cet amour déraisonné.|It's been very difficult for me to get out of this crazy love.
Ça m'a laissé vraiment des séquelles.|It really left me behind.
Un jour, j'ai rencontré un autre homme avec qui j'ai vécu encore une histoire passionnelle, dans laquelle Virginie avait vraiment cru.|One day, I met another man with whom I still had a passionate story, in which Virginia really believed.
Virginie fut trahi à la fois dans l'amour qu'elle portait à cette personne et à la fois amicalement, puisque ce jeune homme la trompait avec sa meilleure amie.|Virginie was betrayed both in her love of this person and at the same time friendlyly, since this young man deceived her with his best friend.
Virginie a eu beaucoup de mal à encaisser cette trahison.|Virginie had a lot of trouble getting this betrayal.
Avec le temps, Virginie avança toujours seule, ne croyant plus du tout à l'amour idéal et en éprouvant une grande méfiance envers tout le monde.|In time, Virginia always advanced alone, no longer believing in ideal love at all and feeling a great distrust towards everyone.
Elle masqua néanmoins cette déception par beaucoup d'auto-dérision et ne souhaitait plus retrouver ce sentiment amoureux.|Nevertheless, she masked this disappointment by a lot of self-derision and no longer wished to regain that feeling of love.
Maintenant, je comprends vraiment pourquoi elle est sur la défensive, pourquoi elle a toujours des doutes, pourquoi elle a toujours peur.|Now I really understand why she's on the defensive, why she still has doubts, why she's always afraid.
Là, tout est plus clair, finalement, et ça me touche.|There, everything is clearer, finally, and it touches me.
Voilà, mais c'est trop gênant, ouais.|That's it, but it's too embarrassing, yeah.
Je...|I...
C'est trop gênant.|It's too embarrassing.
Rires Voilà, voilà.|That's it. That's it, that's it. That's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it.
C'est vraiment plein d'émotions pour moi parce que je suis vraiment pudique sur mon passé, sur ce que je ressens, sur ce que j'ai pu vivre.|It's really full of emotions for me because I'm really stupid about my past, about how I feel, about what I've been able to live.
Mais au moins, c'est dit, je suis libérée et je me sens bien.|But at least, it says, I'm free and I feel good.
Enfin, ça te parle, mon histoire, elle te parle.|I mean, it's talking to you, my story, it's talking to you.
Ouais, je comprends ton comportement dans le sens où t'aimes pas les triangles.|Yeah, I understand your behavior in the sense that you don't like triangles.
Non, je déteste.|No, I hate it.
Je pense que notre situation est...|I think our situation is...
n'était pas à ce niveau-là, dans le sens où j'ai vu une seule fois Gaïa.|wasn't at that level, in the sense that I saw Gaia once.
C'est vrai qu'à cause de mes doutes, j'ai douté et je savais pas quoi faire.|It's true that because of my doubts, I doubted and I didn't know what to do.
J'ai rencontré dans le D8 une fille qui, quand même, avait quelque chose qui me ressemblait.|I met in the D8 a girl who still had something like me.
Et donc, j'ai un peu perdu mes certitudes.|And so, I've lost my certainty a little bit.
Mais maintenant, je suis sûr de mon choix.|But now I'm sure of my choice.
C'est mignon.|That's cute.
Je suis super contente, mais du coup, c'est vrai que je préfère pas aller trop vite non plus parce que...|I'm really happy, but I don't want to go too fast either because...
Je comprends.|I get it.
Je comprends.|I get it.
L'important, c'est qu'on marche dans le même chemin, puis on sait pas où on va arriver, mais en tout cas...|The important thing is that we walk in the same way, and then we don't know where we're going to arrive, but anyway...
C'est bien si on...|It's good if we...
recommence.|Again.
Je pense que moi et Virginie, on peut aller très loin ensemble.|I think I and Virginia can go a long way together.
Je suis fier de moi.|I'm proud of myself.
J'ai pris la bonne décision, au final, et...|I made the right decision, in the end, and...
Et c'est quelque chose que je ne m'y attendais pas du tout.|And that's something I didn't expect at all.
C'est un bon choix.|It's a good choice.
Très mignon.|Very cute.
Merci.|Thank you.
Je suis content que tu te livres à moi.|I'm glad you're giving yourself to me.
En tout cas.|Anyway.
Et j'espère que tu vas écrire des pages bien pour ton futur.|And I hope you're gonna write good pages for your future.
Et j'espère d'être dans ces pages-là.|And I hope I'm in those pages.
Très mignon.|Very cute.
J'espère aussi, on verra.|I hope so too, we'll see.
Merci en tout cas de m'avoir écoutée.|Thank you, anyway, for listening to me.
Ça nous ressoude.|It's rejuvenating us.
On en avait peut-être un peu besoin, parce qu'on était trop sur la défensive.|Maybe we needed it a little bit, because we were too defensive.
Et là, ça permet un petit peu de recoller les morceaux.|And now, it's a little bit of a way to get the pieces back together.
Tu vas en bas ?|Are you going downstairs?
Non, je dois voir les filles.|No, I need to see the girls.
Maintenant, je me sens, voilà, accomplie dans mon coaching.|Now I feel, that's what I did in my coaching.
J'ai l'impression que je l'ai fini, je l'ai clôturé.|I feel like I've finished it, I've closed it.
Je suis contente et je suis fière de moi.|I'm happy and proud of myself.
Les enfants !|Kids!
On est rentrés !|We're home!
Vous êtes contents, les deux ?|Are you happy, both of you?
Vous êtes heureux.|You're happy.
Tranquillou.|Tranquillou.
Sérieux ?|Really?
Ouais, ça va.|Yeah, I'm fine.
Vous êtes trop chou.|You're so sweet.
Non, mais j'adore.|No, but I love it.
Attends.|Wait.
Je vois Julien et Antoine revenir de leur coaching, hyper souriants, plus heureux que jamais.|I see Julien and Antoine coming back from their coaching, super smiling, happier than ever.
Donc je me dis, enfin, un coaching où des gens viennent heureux.|So I'm thinking, at last, coaching where people come happy.
Il était temps !|It's about time!
