Sentence,Emotion,Translated
"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",happiness,"Vous savez, si vous inclinez la tête vers la gauche et détendez vos yeux, cela ressemble en quelque sorte à une vieille pomme de terre."
"Then don't do that, alright?",anger,"Alors ne fais pas ça, d'accord?"
Okay!,neutral,D'accord!
Monica. Whaddya think?,neutral,Monica.Whaddya pense?
Mm-hmm.,sadness,Mm-hmm.
Wh- are you welling up?,neutral,Pourquoi - êtes-vous en place?
No.,neutral,Non.
"You are, you're welling up.",happiness,"Vous êtes, vous vous entendez."
Am not!,anger,Je ne suis pas!
You're gonna be an aunt.,happiness,Tu vas être une tante.
Oh shut up!,happiness,Oh tais-toi!
"Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose. Okay, I know it was a cheap shot, but I feel so much better now.",anger,"Salut, Mindy.Salut, c'est Rachel.Ouais, je vais bien.I-J'ai vu Barry aujourd'hui.Oh, ouais, ouais il me l'a dit.Non, non, ça va.J'espère que vous êtes très heureux, je le fais vraiment.Oh, oh, et mon esprit, vous savez, si-si tout fonctionne, et vous finissez par vous marier et avoir des enfants - et tout - j'espère juste qu'ils ont sa vieille cheveux et votre vieux nez.D'accord, je sais que c'était une photo bon marché, mais je me sens tellement mieux maintenant."
Hi guys!,happiness,Salut les gars!
"Hey, Pheebs! Hi!",happiness,"Hé, Pheebs!Moitié"
"Hey. Oh, oh, how'd it go?",happiness,"Hé.Oh, oh, comment ça s'est passé?"
"Um, not so good. He walked me to the subway and said 'We should do this again!'",sadness,"Euh, pas si bon.Il m'a marché dans le métro et a dit: ""Nous devrions recommencer!"""
Ohh. Ouch.,sadness,Ohh.Aie.
"What? He said 'we should do it again', that's good, right?",neutral,"Quoi?Il a dit «nous devrions recommencer», c'est bien, non?"
"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.",neutral,"Euh, non.Traduit vaguement «nous devrions refaire cela» signifie «vous ne me verrez jamais nu»."
Since when?,neutral,Depuis quand?
"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",neutral,"Depuis toujours.C'est comme un langage de rencontres.Vous savez, comme «ce n'est pas vous» signifie «c'est vous»."
Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,neutral,Ou «tu es un gars tellement sympa» signifie «Je vais sortir avec des alcooliques en cuir et se plaindre d'eux».
"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",anger,"Ou, ou, vous savez, euh, «je pense que nous devrions voir les autres» signifie «ha, ha, je suis déjà»."
And everybody knows this?,neutral,Et tout le monde le sait?
Yeah. Cushions the blow.,neutral,Ouais.Amortit le coup.
"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",neutral,"Ouais, c'est comme quand tu es enfant, et tes parents endormirent ton chien, et ils vous disent qu'il est parti vivre dans une ferme."
"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",neutral,"C'est drôle, que, non, parce que, euh, nos parents ont fait, euh, envoyé notre chien vivre dans une ferme."
"Uh, Ross.",neutral,"Euh, Ross."
"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!",fear,"Quoi?Wh- bonjour?La ferme des Millners dans le Connecticut?Les Millners, ils avaient cette ferme incroyable, ils avaient des chevaux, et, et des lapins qu'il pouvait chasser et c'est - il w- ..... Oh mon Dieu, Chi Chi!"
"""So how does it feel knowing you're about to die?""",neutral,"""Alors, comment ça fait de savoir que vous êtes sur le point de mourir?"""
"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""",happiness,"""Warden, en cinq minutes, ma douleur sera terminée. Mais vous devrez vivre avec le fait que vous avez envoyé un honnête homme pour mourir."""
"Hey, that was really good!",happiness,"Hé, c'était vraiment bien!"
Thanks! Let's keep going.,happiness,Merci!Continuons.
"Okay. ""So. Whaddya want from me, Damone, huh?""",neutral,"D'accord.""Alors. Whaddya veut de moi, Damone, hein?"""
"""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""",neutral,"""Je veux juste retourner à ma cellule."" Parce que dans ma cellule, je peux fumer. """
"""Smoke away.""",neutral,"""Fumez."""
I think this is probably why Damone smokes in his cell alone.,neutral,Je pense que c'est probablement pourquoi Damone fume dans sa cellule seule.
What?,fear,Quoi?
Relax your hand!,happiness,Détendez votre main!
Not so much!,happiness,Pas tellement!
Whoah!,fear,Whoah!
Hey!,happiness,Hé!
Hey!,happiness,Hé!
"Alright, now try taking a puff.",neutral,"Très bien, essayez maintenant de prendre une bouffée."
Alright.. okay. No. Give it to me.,neutral,D'accord ... d'accord.Non. Donnez-le-moi.
"No no no, I am not giving you a cigarette.",neutral,"Non non non, je ne vous donne pas de cigarette."
"It's fine, it's fine. Look, do you wanna get this part, or not? Here.",happiness,"C'est bien, ça va.Regardez, voulez-vous obtenir cette partie, ou pas?Ici."
"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",happiness,"Ne le pensez pas comme une cigarette.Considérez-le comme la chose qui manque à votre main.Lorsque vous le tenez, vous vous sentez bien.Vous vous sentez complet."
Y'miss it?,neutral,Tu es ça?
"Nah, not so much. Alright, now we smoke. Oh.. my.. God.",fear,"Non, pas tellement.Très bien, maintenant nous fument.Oh mon Dieu."
Hi.. how was the game?,neutral,Salut .. comment était le jeu?
Well..,neutral,Bien..
WE WON!! Thank you! Yes!,happiness,Nous avons gagné !!Merci!Oui!
Fantastic! I have one question: How is that possible?,happiness,Fantastique!J'ai une question: comment est-ce possible?
Alan.,neutral,Alan.
"He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",happiness,"Il était incroyable.Il était comme ça - que Bugs Bunny Cartoon où Bugs joue toutes les positions, à droite, mais au lieu des bugs, c'était le premier bas de base, deuxième base-alan, troisième base -..."
"I mean, it-it was like, it was like he made us into a team.",sadness,"Je veux dire, c'était comme, c'était comme s'il avait fait de nous une équipe."
"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",happiness,"Oui, nous avons certainement montré à ces bijoutiers hassidiques une chose ou deux sur le softball."
Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,fear,Puis-je vous poser une question?Vous pensez jamais que Alan est peut-être .. parfois ..
What?,neutral,Quoi?
"..I dunno, a little too Alan?",neutral,"..I je ne sais pas, un peu trop alan?"
"Well, no. That's impossible. You can never be too Alan.",anger,"Eh bien, non.C'est impossible.Vous ne pouvez jamais être trop alan."
"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",happiness,"Ouais, c'est à lui, euh, inné alan-ness que - que nous adorons."
I personally could have a gallon of Alan.,happiness,"Personnellement, je pouvais avoir un gallon d'Alan."
"Hey, Lizzie.",neutral,"Hé, Lizzie."
"Hey, Weird Girl.",neutral,"Hé, fille bizarre."
I brought you alphabet soup.,neutral,Je t'ai apporté de la soupe alphabet.
Did you pick out the vowels?,neutral,Avez-vous choisi les voyelles?
"Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, I also have something else for you.",neutral,"Oui.Mais je suis parti dans le YS.Parce que tu sais, ""parfois y"".Euh, j'ai aussi autre chose pour toi."
Saltines?,neutral,Salines?
"No, but would you like a thousand dollars and a football phone?",neutral,"Non, mais aimeriez-vous mille dollars et un téléphone de football?"
"What? Oh my God, there's really money in here.",happiness,"Quoi?Oh mon Dieu, il y a vraiment de l'argent ici."
I know.,neutral,Je sais.
"Weird Girl, what are you doing?",neutral,"Fille bizarre, qu'est-ce que tu fais?"
"No, I want you to have it. I don't want it.",neutral,"Non, je veux que vous l'avez.Je n'en veux pas."
"No, no, I ha-I have to give you something.",neutral,"Non, non, je dois vous donner quelque chose."
"Oh, that's fine, no.",neutral,"Oh, c'est bien, non."
Would you like my tin-foil hat?,happiness,Voudriez-vous mon chapeau en papier d'aluminium?
"No. 'Cause you need that. No, it's okay, thanks.",neutral,"Non. Parce que vous en avez besoin.Non, ça va, merci."
"Please, let me do something.",neutral,"S'il vous plaît, laissez-moi faire quelque chose."
"Okay, alright, you buy me a soda, and then we're even. Okay?",neutral,"D'accord, d'accord, vous m'achète un soda, puis nous sommes même.D'accord?"
Okay.,neutral,D'accord.
Okay.,neutral,D'accord.
A thumb?!,neutral,Un pouce ?!
Eww!,fear,Eww!
"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",anger,"Je sais!Je sais, je l'ai ouvert et il était là, flottant juste là-dedans, comme ce minuscule petit randonneur!"
"Well, maybe it's a contest, y'know? Like, collect all five?",neutral,"Eh bien, c'est peut-être un concours, tu sais?Comme, collectez les cinq?"
"Does, um, anyone wanna see?",neutral,"Est-ce que, euh, quelqu'un veut voir?"
Nooo!,fear,Nooo!
"Oh, hey, don't do that! Cut it out!",fear,"Oh, hé, ne fais pas ça!Coupez-le!"
It's worse than the thumb!,fear,C'est pire que le pouce!
"Hey, this is so unfair!",neutral,"Hé, c'est tellement injuste!"
"Oh, why is it unfair?",neutral,"Oh, pourquoi est-ce injuste?"
"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?",fear,"J'ai donc un défaut!GRAND DEAL!Comme la fracture constante de Joey n'est pas ennuyeuse?Et Ross, avec son exagération excessive de chaque mot?Et Monica, avec ce reniflement quand elle rit?Je veux dire, qu'est-ce que c'est cette chose?... J'accepte tous ces défauts, pourquoi ne pouvez-vous pas m'accepter pour cela?"
...Does the knuckle-cracking bother everybody?,sadness,... La fracture des articulations dérange-t-elle tout le monde?
"Well, I-I could live without it.",neutral,"Eh bien, je pourrais vivre sans."
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",neutral,"Eh bien, est-ce, comme un peu ennuyeux, ou est-ce comme quand Phoebe mâche ses cheveux?"
"Oh, now, don't listen to him, Pheebs, I think it's endearing.",happiness,"Oh, maintenant, ne l'écoute pas, Pheebs, je pense que c'est attachant."
"Oh, ""you do, do you""?",happiness,"Oh, ""Tu le fais, tu""?"
"You know, there's nothing wrong with speaking correctly.",neutral,"Vous savez, il n'y a rien de mal à parler correctement."
"""Indeed there isn't""... I should really get back to work.",neutral,"""En effet, il n'y en a pas"" ... Je devrais vraiment me retourner au travail."
"Yeah, 'cause otherwise someone might get what they actually ordered.",neutral,"Ouais, parce que sinon quelqu'un pourrait obtenir ce qu'il a réellement commandé."
"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",anger,Ohh-ho-hooohhh.Les cheveux sortent et les gants s'allument.
Did you ever go out with a guy your friends all really like?,neutral,Êtes-vous déjà sorti avec un gars que vos amis aiment vraiment?
No.,neutral,Non.
"Okay.. Well, I'm going out with a guy my friends all really like.",happiness,"D'accord .. eh bien, je sors avec un gars que mes amis aiment vraiment."
"Waitwait.. we talking about the coyotes here? All right, a cow got through!",happiness,"Waitwait .. Nous parlons des coyotes ici?Très bien, une vache est passée!"
"Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing.",fear,"Pouvez-vous le croire?... tu sais quoi?Je ne ressens tout simplement pas la chose.Je veux dire, ils ressentent la chose, je ne ressens pas la chose."
"Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!",happiness,"Chérie .. tu devrais toujours ressentir la chose.Écoutez, si c'est ce que vous pensez du gars, Monica, jetez-le!"
I know.. it's gonna be really hard.,sadness,Je sais ... ça va être vraiment difficile.
"Well, he's a big boy, he'll get over it.",happiness,"Eh bien, c'est un grand garçon, il s'en remetra."
"No, he'll be fine. It's the other five I'm worried about.",sadness,"Non, il ira bien.Ce sont les cinq autres qui m'inquiètent."
Do you have any respect for your body?,neutral,Avez-vous un respect pour votre corps?
Don't you realise what you're-you're doing to yourself?,anger,Vous ne réalisez pas ce que vous vous faites?
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",anger,"Hé, tu sais, j'ai eu avec vous les gars et votre cancer et votre emphysème et votre maladie cardiaque.L'essentiel est que le tabagisme est cool et vous le savez."
"Chandler? It's Alan, he wants to speak to you.",neutral,"Chandler?C'est Alan, il veut te parler."
"Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!",happiness,"Vraiment?Il le fait?Hé, mon pote, quoi de neuf!Oh, elle vous en a parlé, hein.Eh bien, oui, j'en ai un de temps en temps.Eh bien, oui, maintenant.Eh bien, ce n'est pas si grand- ..well, c'est vrai, .. gee, tu sais, personne - personne ne l'a jamais mis comme ça auparavant.Eh bien, d'accord, merci!"
"God, he's good.",happiness,"Dieu, il est bon."
If only he were a woman.,sadness,Si seulement il était une femme.
Yeah.,neutral,Ouais.
Wow.,happiness,Ouah.
"I'm, I'm really sorry.",sadness,"Je suis, je suis vraiment désolé."
"Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved.",happiness,"Ouais, je suis désolé aussi.Mais, je dois te le dire, je suis un peu soulagé."
Relieved?,neutral,Soulagé?
"Yeah, well, I had a great time with you.. I just can't stand your friends.",anger,"Ouais, eh bien, j'ai passé un bon moment avec toi .. Je ne supporte pas tes amis."
Remember when we went to Central Park and rented boats?.. That was fun.,happiness,Rappelez-vous quand nous sommes allés à Central Park et loué des bateaux? .. C'était amusant.
Yeah. He could row like a viking.,happiness,Ouais.Il pouvait ramer comme un Viking.
Hi.,neutral,Salut.
Mmm.,happiness,Mmm.
So how'd it go?,neutral,"Alors, comment ça s'est passé?"
"Oh, y'know..",sadness,"Oh, tu sais .."
Did he mention us?,fear,Nous a-t-il mentionné?
He said he's really gonna miss you guys.,sadness,Il a dit que vous voudrez vraiment vous manquer les gars.
"You had a rough day, huh.. c'mere.",happiness,"Vous avez passé une journée difficile, hein .. c'mere."
...That's it. I'm getting cigarettes.,happiness,...C'est ça.Je reçois des cigarettes.
No no no!,anger,Non non!
"I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!",fear,"Je m'en fiche, je m'en fiche!Le jeu est terminé!Je suis faible!Je dois fumer!Je dois avoir la fumée!"
If you never smoke again I'll give you seven thousand dollars!,happiness,"Si vous ne fumez plus jamais, je vous donnerai sept mille dollars!"
"Yeah, alright.",neutral,"Ouais, d'accord."
Alright. Phoebe?,neutral,Bien.Phoebe?
"Okay, okay. If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!",happiness,"D'accord, d'accord.Si j'étais omnipotent pendant une journée, je voudrais, euh, la paix mondiale, plus de faim, de bonnes choses pour la forêt de pluie ... et des seins plus gros!"
"Yeah, see.. you took mine. Chandler, what about you?",happiness,"Ouais, tu vois .. tu as pris le mien.Chandler, et toi?"
"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",happiness,"Euh, si j'étais omnipotent pendant une journée, je ... je me rendais omnipotent pour toujours."
"See, there's always one guy. ""If I had a wish, I'd wish for three more wishes.""",happiness,"Vous voyez, il y a toujours un gars.""Si j'avais un souhait, je souhaiterais trois souhaits supplémentaires."""
"Hey Joey. Hi. Hey, buddy.",happiness,"Hey Joey.Salut.Hé, mon pote."
"Hey, Joey, what would you do if you were omnipotent?",neutral,"Hé, Joey, que feriez-vous si vous étiez omnipotent?"
